Measurement,Filename,Mode,Date_DDMMYY,SensorID,Channel,SensorLocation_m,SetAmplitude_V,SetFrequency_Hz,MeasuredFrequency_FFT_Hz,MeasuredAmplitude_m,UncertaintyAmplitude_m,UncertaintyFrequency_Hz,Cam_Amplitude_PT_m,Cam_Uncertainty_PT_m,Cam_Amplitude_Envelope_m,Cam_Uncertainty_Envelope_m,Cam_DriftRatio,ReferenceAmplitude_m,NormalisedAmplitude,Final_amp_error_m,Final_freq_error_Hz
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a4p19_f0p83.csv,HIGH,130526,5,1,7.8,4.19,0.83,0.835708316369169,0.00373271483796523,1.53466885720813e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00403686989583045,0.924655719477268,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a4p58_f1.csv,HIGH,130526,5,1,7.8,4.58,1,0.999992857193877,0.00679509580742157,3.56152358391166e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00938993639483463,0.723657277503981,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a5p11_f0p83.csv,HIGH,130526,5,1,7.8,5.11,0.83,0.828565510246355,0.0065434495923431,1.78804647031282e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.0060061225462152,1.08946321724096,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a5p2_f0p71.csv,HIGH,130526,5,1,7.8,5.2,0.71,0.707137806158527,0.00743757229638906,8.61812271936011e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00661198687956564,1.12486192605356,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a5p3_f1.csv,HIGH,130526,5,1,7.8,5.3,1,0.999992857193877,0.0100913727171094,0.000161409192365686,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.0108430433410307,0.930677153979736,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a6p05_f0p83.csv,HIGH,130526,5,1,7.8,6.05,0.83,0.835708316369169,0.00808399909339105,2.64516632061454e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00586211774802251,1.37902366360997,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a6p3_f0p71.csv,HIGH,130526,5,1,7.8,6.3,0.71,0.707137806158527,0.0063212654059166,1.53163199347967e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00800811726519076,0.789357247975567,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a6p98_f0p83.csv,HIGH,130526,5,1,7.8,6.98,0.83,0.828565510246355,0.00698034530086063,1.71085702553898e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.00818177115181586,0.853158218598111,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a7p46_f0p71.csv,HIGH,130526,5,1,7.8,7.46,0.71,0.714280612281341,0.00459942996088046,1.9912988952741e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.0143515253924697,0.320483700171258,0.000711785603850928,0.0150292464797731
Acoustic_Sensor,raw_data_HIGH_Sensor1_x1m_130526_a8p59_f0p71.csv,HIGH,130526,5,1,7.8,8.59,0.71,0.707137806158527,0.00294935881062864,1.74707193382754e-05,0.00714280612281341,NaN,NaN,NaN,NaN,NaN,0.0106167351702759,0.277802805036155,0.000711785603850928,0.0150292464797731
